REASON,CATEGORY,SUBCATEGORY,MAKE,SUPPORTTYPE,END OF LIFE,USER/SUBSCRIPTIONS,QUANTITY,SERIALNO/LICENSE KEY,DEPARTMENT,ENTITY,MODEL/LICENSE NAME,DESCRIPTION,CURRENCY,AMOUNT,VENDOR_NAME,VENDOR_EMAIL,VENDOR_CONTACT,INFORM_VENDOR(1/0),RECURRENCE(1/0),START_REMINDER_FROM,GST,LOCATION,CONTRACT_NO,MORE_RECEIPENTS,SET_ESCALATION(1/0),ESCALATION_EMAIL,START_ESCALATION_FROM
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","HardwareMaterials","Amzon","type2","2022-03-30","yes",700,344894,"Electronics","Unit",3784683,"test362","Rupees",8000,"shree","swapna@contisofttechno.com",9878675565,1,"2022-03-17","2022-03-31",1,1,837269,"mumbai",9878478377,"swapna@contisofttechno.com",1,"swapna@contisofttechno.com",1,"","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Leased line","atos","type","2022-04-08","sdjgh",64,37836978384,"IT","ABC enterprise",347479,"TATA Lease line Pune - Sinagpore ","rupees",1010,"swapna","swapna@contisofttechno.com",983784647,"","2022-03-27","2022-04-08","",13,434748,"pune",9878377743,"swapna.pechfule133@gmail.com,swapna@contisofttechno.com","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","PRI","atos","type","2022-04-09","sdjgh",95,37836978385,"IT","ABC enterprise",347480,"PRI TATA- Did range 001-00100","rupees",1011,"swapna","swapna@contisofttechno.com",983784648,"","2022-03-28","2022-04-09","",14,434749,"pune",9878377744,"swapna.pechfule134@gmail.com,swapna@contisofttechno.com","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","EPBAX","atos","type","2022-04-10","sdjgh",125,37836978386,"IT","ABC enterprise",347481,"Siemenes Make","rupees",1012,"swapna","swapna@contisofttechno.com",983784649,"","2022-03-29","2022-04-10",0,15,434750,"pune",9878377745,"swapna.pechfule135@gmail.com,swapna@contisofttechno.com","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Router","atos","type","2022-04-11","sdjgh",156,37836978387,"IT","ABC enterprise",347482,"Cisco2960 1GBPS","rupees",1013,"swapna","swapna@contisofttechno.com",983784650,"","2022-03-30","2022-04-11",1,16,434751,"pune",9878377746,"swapna.pechfule136@gmail.com,swapna@contisofttechno.com","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Switches","atos","type","2022-04-12","sdjgh",187,37836978388,"IT","ABC enterprise",347483,"Juniper ESX series","rupees",1014,"swapna","swapna@contisofttechno.com",983784651,"","2022-03-31","2022-04-12","",17,434752,"pune",9878377747,"swapna.pechfule137@gmail.com,swapna@contisofttechno.com","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","OSP license","atos","type","2022-04-13","sdjgh",217,37836978389,"IT","ABC enterprise",347484,"DOT OSP license renewal","rupees",1015,"","swapna@contisofttechno.com",983784652,"","2022-04-01","2022-04-13","",18,434753,"pune",9878377748,"swapna.pechfule138@gmail.com,swapna@contisofttechno.com","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Software","Subscription","atos","type","2022-04-14","sdjgh",248,37836978390,"IT","ABC enterprise",347485,"Amazon EC2 ","rupees",1016,"","swapna@contisofttechno.com",983784653,"","2022-04-02","2022-04-14","",19,"","",9878377749,"","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Software","License","atos","type","2022-04-15","sdjgh",278,37836978391,"IT","ABC enterprise",347486,"Windows 11","rupees",1017,"","swapna@contisofttechno.com",983784654,"","2022-04-03","2022-04-15","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Laptop","atos","type","2022-04-16","",309,37836978392,"Sales","XYZ india pvt Ltd",347487,"Dell Laptop i3, 4 GB Storgae 512 RAM","rupees","","","",983784655,"","2022-04-04","2022-04-16","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Desktop","atos","","2022-04-17","",340,37836978393,"Sales","XYZ india pvt Ltd",347488,"HP Laptop i3, 4 GB Storgae 512 RAM","","","","","","","2022-04-05","2022-04-17","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Server","atos","","2022-04-18","",368,37836978394,"Sales","XYZ india pvt Ltd","","Dell R730 Server","","","","","","","2022-04-06","2022-04-18","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Storage","","","2022-04-19","",399,37836978395,"Sales","XYZ india pvt Ltd","","EMC storage VNX series 100 TB ","","","","","","","2022-04-07","2022-04-19","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Printer","","","2022-04-20","",429,37836978396,"Sales","XYZ india pvt Ltd","","Cannon","","","","","","","2022-04-08","2022-04-20","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Monitor","","","2022-04-21","",460,37836978397,"Sales","XYZ india pvt Ltd","","Lenovo 14 inch LCD dispplay","","","","","","","2022-04-09","2022-04-21","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Leased line","","","2022-04-22","",490,37836978398,"Sales","XYZ india pvt Ltd","","TATA Lease line Pune - Sinagpore ","","","","","","","2022-04-10","2022-04-22","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","PRI","","","2022-04-23","",521,37836978399,"Sales","XYZ india pvt Ltd","","PRI TATA- Did range 001-00100","","","","","","","2022-04-11","2022-04-23","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","EPBAX","","","2022-04-24","",521,37836978400,"Sales","XYZ india pvt Ltd","","Siemenes Make","","","","","","","2022-04-12","2022-04-24","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Router","","",null,"",521,37836978401,"Sales","XYZ india pvt Ltd","","Cisco2960 1GBPS","","","","","","","2022-04-13","2022-04-25","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Switches","","",null,"",521,37836978402,"Sales","XYZ india pvt Ltd","","Juniper ESX series","","","","","","","2022-04-14","2022-04-26","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","OSP license","","",null,"",521,37836978403,"Sales","XYZ india pvt Ltd","","DOT OSP license renewal","","","","","","","2022-04-15","2022-04-27","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Software","Subscription","","",null,"",521,37836978404,"Sales","XYZ india pvt Ltd","","Amazon EC2 ","","","","","","","2022-04-16","2022-04-28","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Software","License","","",null,"",521,37836978405,"Sales","XYZ india pvt Ltd","","Windows 11","","","","","","","2022-04-17","2022-04-29","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Lease agreement","Shop","","",null,"",521,37836978406,"Admin","SGS ","","Magarpatta India pvt Ltd","","","","","","","2022-04-18","2022-04-30","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Profesional service","Canteen","","",null,"",521,37836978407,"Admin","JLL","","HP Laptop i3, 4 GB Storgae 512 RAM","","","","","","","2022-04-19","2022-05-01","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Visa","Renewal","","",null,"",49,37836978408,"Legal","Triangular Automation Pvt Ltd","","aeroplane","","","","","","","2022-04-20","2022-05-02","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Account","Labour signing ","","",null,"",44,37836978409,"Shipping","abs","","labour for construction","","","","","","","2022-04-21","2022-05-03","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Account","Labour signing ","","",null,"",44,37836978410,"Shipping","abs","","labour for construction","","","","","","","2022-04-22","2022-05-04","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Catgg","subcategory","","",null,"",3,37836978411,"","","","zxz","","","","","","","2022-04-23","2022-05-05","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Catgg","subcategory","","",null,"",270,37836978412,"","","","aksndjk","","","","","","","2022-04-24","2022-05-06","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","abc","bvc","","",null,"",16,37836978413,"","","","hadba","","","","","","","2022-04-25","2022-05-07","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Compact","Lakme","","",null,"",83,37836978414,"","","","easy to use","","","","","","","2022-04-26","2022-05-08","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Design","webdesign","","",null,"",171,"","","","","op design","","","","","","","2022-04-27","2022-05-09","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Professional services","Outsourcing","","",null,"",47,"","Sales","A R Corporation","","godrej 5 ton inverter AC","","","","","","","2022-04-28","2022-05-10","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Professional services","Outsourcing","","",null,"",47,"","Sales","A R Corporation","","godrej 5 ton inverter AC","","","","","","","2022-04-29","2022-05-11","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Passport","Renewal","","",null,"",3,"","","","","Test(8/2/2022)","","","","","","","2022-04-30","2022-05-12","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Electronics","Components","","",null,"",15,"","","","","test(8/2/2022)","","","","","","","2022-05-01","2022-05-13","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Food","Beverages","","",null,"",15,"","Admin","Project","","Amul Kool a flavoured milk","","","","","","","2022-05-02","2022-05-14","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Instruments","Instrumentation parts","","",null,"",4,"","","","","test(17/01/2022)","","","","","","","2022-05-03","2022-05-15","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Technovision","technical","","",null,"",5,"","test","A R Corporation","","testing","","","","","","","2022-05-04","2022-05-16","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Licence","Microsoft","","",null,"",43,"","HR","A R Corporation","","nmh","","","","","","","2022-05-05","2022-05-17","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","fabric","cotton","","",null,"",44,"","Purchase","sunshine corporation","","cotton clothes","","","","","","","2022-05-06","2022-05-18","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","fabric","cotton","","",null,"",44,"","Purchase","sunshine corporation","","cotton clothes","","","","","","","2022-05-07","2022-05-19","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","abc","bvc","","",null,"",11,"","Legal","Entity123","","files","","","","","","","2022-05-08","2022-05-20","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","abc","bvc","","",null,"",11,"","Legal","Entity123","","files","","","","","","","2022-05-09","2022-05-21","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Lease agreement","Land","","",null,"",10,"","Purchase","A R Corporation","","Edit By Pankaj","","","","","","","2022-05-10","2022-05-22","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Account","Income Tax & statutory","","",null,"",22,"","Admin","A R Corporation","","dvsg","","","","","","","2022-05-11","2022-05-23","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Internet","","",null,"",8,"","Admin","","","To test Renew with us button","","","","","","","2022-05-12","2022-05-24","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Food Services","services","","",null,"",1,"","","","","Test(8/2/2022) for Test Recurrence","","","","","","","2022-05-13","2022-05-25","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Network","Lease Line","","",null,"",1,"","","","","test(Record created date:24/2/2022)","","","","","","","2022-05-14","2022-05-26","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Laptop","","",null,"",1,"","","","","Test(record Created dt:24/2/2022)","","","","","","","2022-05-15","2022-05-27","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Fabrication","sdsd","","",null,"",36,"","Operation","ass,","","sadsad","","","","","","","2022-05-16","2022-05-28","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Payment","Misc","","",null,"",2,"","","","","test(02-2-2022)","","","","","","","2022-05-17","2022-05-29","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Communication","Mobile commmunication","","",null,"",2,"","","","","Test(10/2/2022)","","","","","","","2022-05-18","2022-05-30","",0,"","","","","","","","","",-19091
"Entered Start Reminder From which is not valid or entered less than 0 !!","Hardware","Desktop","","",null,"",1,"","IT","A R Corporation","","Desktopsmdgshm46646","","","","","","","2022-05-19","2022-05-31","",0,"","","","","","","","","",-19091
